 ,Area,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
143,0.597,3.308,1.078,0.705,90.000,1.301,937,58,104.036,0.946
144,0.398,2.231,0.862,0.588,0.000,0.998,900,61,161.565,0.631
145,0.498,2.677,0.796,0.796,0.000,0.998,897,62,108.435,0.892
146,0.498,2.862,0.880,0.720,90.000,1.137,856,65,123.690,0.946
147,0.299,2.154,1.068,0.356,90.000,0.998,429,67,108.435,0.315
148,0.498,2.862,1.046,0.606,45.000,1.338,431,76,45.000,0.892
149,13.137,27.386,5.574,3.001,75.409,7.499,449,158,75.379,4.683
150,0.299,1.969,1.068,0.356,0.000,0.998,11,155,161.565,0.315
151,0.498,2.416,0.992,0.639,71.565,1.137,19,160,56.310,0.631
152,0.299,2.154,1.068,0.356,90.000,0.998,1383,177,108.435,0.315
153,2.787,7.431,2.790,1.272,177.336,3.170,252,227,174.289,1.262
154,0.299,2.154,1.068,0.356,90.000,0.998,31,415,108.435,0.315
155,0.896,4.754,1.507,0.757,148.949,2.020,949,690,141.340,1.199
156,0.299,1.969,1.068,0.356,0.000,0.998,489,835,161.565,0.315
157,0.299,1.969,1.068,0.356,0.000,0.998,1145,865,161.565,0.315
158,0.498,3.231,1.780,0.356,0.000,1.609,1025,997,168.690,0.315
159,0.299,2.154,1.068,0.356,90.000,0.998,937,4,108.435,0.315
160,0.498,3.046,1.046,0.606,135.000,1.338,1365,7,135.000,0.892
161,0.299,2.154,1.068,0.356,90.000,0.998,57,9,108.435,0.315
162,0.299,2.154,1.068,0.356,90.000,0.998,321,13,108.435,0.315
163,0.299,1.969,1.068,0.356,0.000,0.998,1043,13,161.565,0.315
164,1.095,4.831,1.828,0.762,118.997,2.116,31,14,116.565,1.097
165,1.692,5.277,1.592,1.353,123.602,2.116,1329,17,116.565,1.561
166,1.095,3.493,1.383,1.008,15.071,1.577,73,22,36.870,0.946
167,0.498,2.862,1.046,0.606,45.000,1.338,115,22,45.000,0.892
168,0.896,3.046,1.068,1.068,0.000,1.338,1367,19,135.000,0.946
169,0.299,2.154,1.068,0.356,90.000,0.998,709,20,108.435,0.315
170,0.995,5.462,1.579,0.803,90.000,1.839,1339,21,120.964,0.946
171,2.289,6.431,2.182,1.336,122.070,2.464,1321,22,129.806,1.552
172,0.299,1.969,1.068,0.356,0.000,0.998,719,23,161.565,0.315
173,0.697,4.124,1.477,0.601,72.231,1.839,659,34,59.036,0.946
174,1.393,4.385,1.616,1.098,111.439,1.839,211,32,120.964,1.262
175,1.194,5.277,1.803,0.843,5.040,2.231,103,35,171.870,1.262
176,0.299,1.785,0.746,0.510,45.000,0.892,559,41,45.000,0.631
